,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
38238,4,6,1,6,0,0,0,1,4,0,1,1,0,1,2,0,1,9,1,2,0
38296,3,6,0,6,0,0,0,0,4,2,1,2,1,0,0,0,1,9,1,2,1
38298,3,2,0,6,0,0,0,1,4,2,2,2,1,0,0,0,1,9,1,2,0
38299,3,7,0,1,0,0,0,0,4,3,1,2,1,0,0,0,1,9,1,2,0
38300,3,2,1,6,0,0,0,1,4,3,1,5,1,1,1,0,1,9,1,2,1
38301,3,3,0,2,0,1,0,1,4,3,1,4,1,0,0,0,1,9,1,2,0
38302,3,2,0,6,0,1,0,1,4,3,1,1,1,1,1,0,1,9,1,2,0
38303,4,2,1,6,0,0,0,1,4,3,1,1,1,0,0,0,1,9,1,2,0
38304,2,11,1,1,0,0,0,0,4,3,1,1,1,0,0,0,1,9,1,2,0
38305,3,4,1,4,0,0,0,1,4,3,1,1,1,1,1,0,1,9,1,2,0
38306,3,8,1,1,0,0,0,0,4,3,1,1,1,0,0,0,1,9,1,2,0
38307,4,2,2,1,0,0,0,1,4,3,2,1,1,0,0,0,1,9,1,2,0
38308,2,2,1,6,0,1,0,1,4,3,1,2,1,0,0,0,1,9,1,2,0
38309,6,5,0,4,0,0,0,1,4,3,1,1,1,1,1,0,1,9,1,2,0
38310,3,3,0,2,0,0,0,1,4,3,1,1,1,0,0,0,1,9,1,2,0
38311,3,3,0,2,0,1,0,1,4,3,1,1,1,0,0,0,1,9,1,2,0
38312,4,1,0,4,0,1,0,1,4,3,1,1,0,1,2,0,1,9,1,2,1
38313,2,11,1,5,0,1,0,1,4,3,1,1,1,0,0,0,1,9,1,2,0
38314,7,5,0,4,0,1,0,1,4,3,1,2,0,1,2,0,1,9,1,2,0
38315,3,2,0,6,0,1,0,1,4,3,1,2,1,0,0,0,1,9,1,2,0
