,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_desc,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,priors_count.1,start,end,event,two_year_recid,length_of_stay,length_of_stay.1,length_of_stay.2
4074,0,3,0,0,8,0,0,0,22,1,1,1,12,0,0,8,2,0,8,2,0,99,69,1,1,99,3,0
161,1,3,1,0,7,0,0,3,22,1,0,1,33,0,0,7,1,0,4,0,3,0,1,1,1,70,0,8
3929,0,2,0,1,8,0,0,1,28,1,0,1,127,1,0,8,2,0,9,2,1,0,7,1,1,69,35,0
5248,0,3,1,0,6,0,3,9,22,1,0,1,0,0,0,6,1,0,4,0,9,62,48,1,1,62,0,7
4318,0,2,0,0,9,1,0,1,22,1,0,1,212,1,0,9,2,0,8,2,1,0,33,1,1,60,0,7
4046,1,5,0,0,6,0,0,12,45,1,1,1,68,1,0,6,1,0,3,0,12,0,28,1,1,57,29,7
1206,0,3,0,0,6,0,0,4,22,1,0,1,2,1,0,6,1,0,7,1,4,88,67,1,1,54,0,4
2639,1,2,0,0,8,0,0,2,37,1,0,1,53,0,0,8,2,0,7,1,2,0,15,1,1,53,27,0
6501,0,2,0,0,9,0,0,1,25,1,0,1,20,1,0,9,2,0,9,2,1,0,3,1,1,52,26,6
4815,0,2,0,1,10,1,1,4,23,1,0,1,223,1,0,10,2,0,7,1,4,0,1,1,1,49,25,29
2089,0,3,0,0,9,0,0,23,60,1,0,1,9,0,0,9,2,0,8,2,23,0,46,1,1,48,24,6
3802,0,4,0,0,7,0,0,8,22,1,0,1,54,0,0,7,1,0,5,1,8,48,64,1,1,46,4,0
6745,0,3,0,0,10,0,1,5,26,1,0,1,6,0,0,10,2,0,7,1,5,0,2,1,1,44,22,35
1733,0,4,0,0,9,0,0,15,22,1,0,1,5,0,0,9,2,0,7,1,15,43,45,1,1,43,9,2
3680,0,2,0,0,9,0,2,11,31,2,0,1,66,0,0,9,2,0,8,2,11,0,11,1,1,42,21,5
2884,0,3,1,1,10,0,0,11,33,1,0,1,8,0,0,10,2,0,10,2,11,0,13,1,1,41,21,1
1424,0,3,0,2,9,0,0,20,22,1,0,1,32,0,0,9,2,0,5,1,20,50,36,0,1,41,1,4
7047,0,4,0,1,6,0,0,18,22,1,0,1,8,0,0,6,1,0,8,2,18,39,34,1,1,39,0,4
987,0,2,0,0,3,0,0,3,28,1,0,1,100,1,0,3,0,0,2,0,3,0,7,1,1,39,20,4
5496,0,6,1,0,10,0,0,8,1,1,0,1,106,0,0,10,2,0,6,1,8,0,43,1,1,38,0,0
397,0,4,1,0,10,0,0,5,0,1,0,1,51,0,0,10,2,0,6,1,5,0,32,1,1,38,0,0
4736,0,3,0,1,9,1,1,12,28,1,0,1,9,0,0,9,2,0,7,1,12,0,7,1,1,38,19,4
3797,0,2,0,0,7,0,0,3,40,1,1,1,19,1,0,7,1,0,8,2,3,0,22,1,1,36,18,4
