,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
0,1,0,2,1,2,2,2,-1,-1,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
1,11,0,2,2,2,-1,2,0,0,0,2,-69,-85,-81,-66,-82,-46,0,0,0,0,0,0,1
2,8,0,2,2,3,0,0,0,0,0,0,-64,-83,-80,-64,-80,-44,0,0,0,0,0,0,0
3,4,0,2,1,3,0,0,0,0,0,0,-61,-76,-76,-62,-77,-42,0,0,0,0,0,0,0
4,4,1,2,1,5,-1,0,-1,0,0,0,-68,-84,-78,-63,-79,-44,0,2,1,1,0,0,0
5,4,1,1,2,3,0,0,0,0,0,0,-58,-75,-75,-63,-79,-44,0,0,0,0,0,0,0
6,49,1,1,2,2,0,0,0,0,0,0,-5,-8,-33,33,11,24,6,2,4,3,3,2,0
7,9,0,2,2,2,0,-1,-1,0,0,-1,-67,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
8,13,0,3,1,2,0,0,2,0,0,0,-68,-83,-80,-65,-80,-46,0,0,0,0,0,0,0
9,1,1,3,2,3,-2,-2,-2,-2,-1,-1,-69,-85,-81,-67,-80,-45,0,0,0,2,0,0,0
10,19,0,3,2,3,0,0,2,0,0,-1,-68,-84,-81,-66,-82,-46,0,0,0,0,0,0,0
11,25,0,1,2,5,-1,-1,-1,-1,-1,2,-67,-81,-80,-65,-78,-45,2,0,0,3,0,0,0
12,62,0,2,2,4,-1,0,-1,-1,-1,-1,-67,-84,-81,-66,-81,-46,0,0,0,1,0,0,0
13,6,1,2,2,3,1,2,2,0,0,2,-58,-73,-74,-54,-75,-41,0,0,0,0,0,0,1
14,24,1,1,2,2,0,0,0,0,0,0,-57,-73,-74,-56,-71,-38,0,0,0,0,0,0,0
15,4,0,3,3,2,1,2,0,0,0,0,-61,-80,-78,-61,-77,-42,0,0,0,0,0,0,0
16,1,1,1,2,2,0,0,2,2,2,2,-67,-82,-80,-63,-79,-44,0,0,0,0,0,0,1
17,31,1,1,1,4,0,0,0,-1,-1,-1,-25,-39,-60,-54,-81,-17,1,0,8,3,45,9,0
18,35,0,1,1,4,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
19,17,0,1,2,2,1,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
20,12,0,3,2,3,0,0,0,0,0,-1,-63,-80,-79,-63,-80,-47,0,0,0,0,0,6,0
21,11,0,2,1,3,-1,-1,-1,-1,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,1
22,6,0,2,2,2,2,0,0,2,2,2,-62,-77,-77,-59,-73,-40,0,0,0,0,0,0,1
23,44,0,1,1,4,-2,-2,-2,-2,-2,-2,-69,-82,-81,-67,-83,-47,2,0,0,0,0,0,1
24,8,1,1,2,2,0,0,0,-1,0,0,-69,-84,-81,-66,-81,-46,0,0,0,0,0,0,0
25,4,1,3,2,2,0,0,0,0,0,0,-61,-78,-77,-61,-77,-42,0,0,0,0,0,0,0
26,5,1,1,2,2,1,-2,-1,-1,-1,-1,-70,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
27,4,0,3,2,3,0,0,0,0,0,0,-66,-82,-80,-63,-79,-44,0,0,0,0,0,0,0
28,4,0,3,1,4,-1,-1,-1,-1,-1,-1,-69,-85,-81,-66,-77,-47,0,0,0,4,0,0,0
29,4,1,1,2,2,0,0,0,0,0,0,-67,-82,-80,-63,-79,-45,0,0,0,0,0,0,0
30,22,0,1,2,2,-1,-1,-1,-1,-1,-1,-67,-82,-80,-64,-80,-41,1,0,1,2,8,0,0
31,4,1,2,2,3,2,0,0,0,0,0,-64,-80,-79,-63,-78,-43,0,0,0,0,0,0,1
32,9,1,1,2,3,0,0,0,0,0,0,-53,-70,-72,-52,-67,-35,0,0,0,0,0,0,0
33,49,0,2,1,5,-2,-2,-2,-2,-2,-2,-68,-85,-79,-65,-69,-45,0,1,0,11,0,9,0
34,49,1,1,1,5,-2,-2,-2,-2,-2,-2,-67,-84,-78,-66,-83,-46,0,1,0,0,1,0,0
35,15,1,1,2,3,-1,-1,-2,-2,-2,-1,-64,-85,-81,-67,-83,-47,0,0,0,0,0,0,0
36,27,1,2,1,4,0,0,0,0,0,0,-37,-51,-62,-35,-48,-20,0,0,0,1,1,1,0
37,5,0,2,2,2,0,0,0,0,0,-1,-67,-84,-80,-66,-88,-44,0,0,0,0,11,0,0
38,4,1,1,2,2,1,-1,-1,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
39,27,1,1,2,3,-1,-1,2,-1,0,-1,-69,-84,-81,-65,-79,-45,1,0,1,1,2,0,0
40,35,1,1,2,3,0,0,0,0,0,0,-31,-44,-59,49,-44,-20,1,0,0,30,6,0,0
41,6,0,1,2,2,0,0,0,0,0,0,-58,-73,-74,-55,-70,-37,0,0,0,0,0,0,0
42,1,1,2,2,2,0,0,0,0,0,0,-69,-85,-81,-66,-82,-46,0,0,0,0,0,0,0
43,13,0,2,1,3,0,0,0,0,0,0,-59,-74,-75,-55,-69,-36,0,0,0,0,0,0,0
44,3,0,1,2,3,0,0,0,2,0,0,-66,-81,-79,-62,-77,-42,0,0,0,0,0,0,0
45,20,1,1,2,2,-2,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
46,1,0,1,2,2,0,0,2,-1,0,0,-67,-82,-80,-64,-79,-47,0,0,1,0,0,0,1
47,14,0,5,2,4,0,0,-1,0,0,-2,-69,-85,-81,-67,-83,-47,0,0,0,0,0,0,1
48,37,1,2,2,3,-1,-1,-1,-1,-1,-1,-66,-81,-80,-61,-80,-45,2,0,2,1,2,1,0
49,1,1,1,2,2,0,0,0,0,0,0,-66,-82,-79,-63,-79,-44,0,0,0,0,0,0,0
50,6,1,3,2,4,1,2,2,2,2,0,-63,-79,-77,-59,-75,-41,0,0,0,0,0,0,1
51,9,0,3,3,4,0,0,0,0,0,0,-59,-76,-77,-59,-76,-42,0,0,0,0,0,0,0
52,30,0,2,1,4,-2,-2,-2,-2,-2,-2,-67,-84,-81,-65,-82,-47,0,0,1,0,0,0,0
53,17,0,1,2,2,1,2,0,0,0,0,-62,-78,-77,-59,-74,-40,0,0,0,0,0,0,0
54,14,0,1,2,2,2,0,0,0,0,0,-61,-79,-78,-62,-78,-44,0,0,0,0,0,0,0
55,49,0,1,1,4,-2,-2,-2,-2,-2,-2,-69,-85,-81,-67,-83,-46,0,0,0,0,0,0,0
56,17,0,3,1,3,0,0,0,-1,-1,-1,-67,-82,-80,-65,-83,-46,0,0,0,0,2,0,0
57,17,0,2,1,3,0,0,0,0,0,0,-39,-53,-63,-35,-57,-27,0,0,0,0,1,0,0
58,19,0,1,2,3,-1,3,2,2,2,2,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
59,39,0,2,1,2,0,0,0,0,0,0,0,-10,-37,0,-13,8,1,0,3,1,2,4,0
60,49,0,3,1,2,0,0,0,0,0,0,-65,-81,-79,-64,-80,-44,0,0,0,0,0,0,1
61,6,1,2,1,3,0,0,0,0,0,-1,-57,-72,-74,-64,-80,-47,0,0,0,0,0,0,0
62,4,1,1,2,2,2,2,2,2,2,2,-65,-81,-79,-62,-77,-43,0,0,0,0,0,0,1
63,4,0,2,1,4,0,0,0,-2,-2,-2,-64,-80,-81,-67,-83,-47,0,0,0,0,0,0,1
64,12,0,2,1,5,-1,-1,-2,-2,-1,-1,-69,-85,-81,-67,-82,-47,0,0,0,0,0,0,0
65,19,1,1,1,5,-2,-2,-2,-1,2,2,-43,-57,-66,-65,-81,-46,0,0,0,0,0,0,1
66,1,1,2,1,5,2,2,2,0,0,0,-69,-85,-81,-66,-82,-46,0,0,0,0,0,0,1
67,20,0,1,2,3,2,-1,-1,-1,-1,-1,-69,-85,-81,-66,-82,-46,0,0,0,0,0,0,0
68,12,0,3,2,2,1,-2,-2,-1,2,-1,-70,-87,-82,-65,-81,-46,0,0,2,0,1,2,0
69,1,1,5,2,2,2,0,0,0,0,0,-66,-82,-80,-63,-80,-46,0,0,0,0,0,0,0
